Type,Value,Unit,Time
internaltemp,25.1,Celsius,07-07-19 16:15
internalrh,80,%,07-07-19 16:15
internaltemp,25.2,Celsius,07-07-19 16:25
internalrh,80,%,07-07-19 16:25
internaltemp,25.2,Celsius,07-07-19 16:34
internalrh,80,%,07-07-19 16:34
internaltemp,25.2,Celsius,07-07-19 16:44
internalrh,80,%,07-07-19 16:44
internaltemp,25.2,Celsius,07-07-19 16:54
internalrh,80,%,07-07-19 16:54
internaltemp,25.2,Celsius,07-07-19 17:04
internalrh,80,%,07-07-19 17:04
internaltemp,25.2,Celsius,07-07-19 17:14
internalrh,79,%,07-07-19 17:14
internaltemp,25.2,Celsius,07-07-19 17:24
internalrh,79,%,07-07-19 17:24
internaltemp,25.1,Celsius,07-07-19 17:35
internalrh,79,%,07-07-19 17:35
internaltemp,25.1,Celsius,07-07-19 17:45
internalrh,79,%,07-07-19 17:45
internaltemp,25.1,Celsius,07-07-19 17:55
internalrh,79,%,07-07-19 17:55
internaltemp,25.1,Celsius,07-07-19 18:05
internalrh,79,%,07-07-19 18:05
internaltemp,25,Celsius,07-07-19 18:15
internalrh,79,%,07-07-19 18:15
internaltemp,25,Celsius,07-07-19 18:25
internalrh,78,%,07-07-19 18:25
internaltemp,25,Celsius,07-07-19 18:34
internalrh,78,%,07-07-19 18:34
internaltemp,24.9,Celsius,07-07-19 18:44
internalrh,78,%,07-07-19 18:44
internaltemp,24.9,Celsius,07-07-19 18:54
internalrh,78,%,07-07-19 18:54
internaltemp,24.9,Celsius,07-07-19 19:04
internalrh,79,%,07-07-19 19:04
internaltemp,24.7,Celsius,07-07-19 19:14
internalrh,79,%,07-07-19 19:14
internaltemp,24.7,Celsius,07-07-19 19:24
internalrh,79,%,07-07-19 19:24
internaltemp,24.7,Celsius,07-07-19 19:34
internalrh,79,%,07-07-19 19:34
internaltemp,24.6,Celsius,07-07-19 19:44
internalrh,79,%,07-07-19 19:44
internaltemp,24.6,Celsius,07-07-19 19:54
internalrh,79,%,07-07-19 19:54
internaltemp,24.6,Celsius,07-07-19 20:05
internalrh,79,%,07-07-19 20:05
internaltemp,24.5,Celsius,07-07-19 20:14
internalrh,80,%,07-07-19 20:14
internaltemp,24.5,Celsius,07-07-19 20:24
internalrh,80,%,07-07-19 20:24
internaltemp,24.4,Celsius,07-07-19 20:34
internalrh,80,%,07-07-19 20:34
internaltemp,24.4,Celsius,07-07-19 20:45
internalrh,80,%,07-07-19 20:45
internaltemp,24.4,Celsius,07-07-19 20:55
internalrh,81,%,07-07-19 20:55
internaltemp,24.4,Celsius,07-07-19 21:05
internalrh,81,%,07-07-19 21:05
internaltemp,24.4,Celsius,07-07-19 21:15
internalrh,80,%,07-07-19 21:15
internaltemp,24.3,Celsius,07-07-19 21:24
internalrh,79,%,07-07-19 21:24
internaltemp,24.3,Celsius,07-07-19 21:34
internalrh,79,%,07-07-19 21:34
internaltemp,24.2,Celsius,07-07-19 21:44
internalrh,79,%,07-07-19 21:44
internaltemp,24.2,Celsius,07-07-19 21:54
internalrh,79,%,07-07-19 21:54
internaltemp,24.2,Celsius,07-07-19 22:04
internalrh,78,%,07-07-19 22:04
internaltemp,24.2,Celsius,07-07-19 22:14
internalrh,78,%,07-07-19 22:14
internaltemp,24.2,Celsius,07-07-19 22:24
internalrh,78,%,07-07-19 22:24
internaltemp,24.1,Celsius,07-07-19 22:34
internalrh,78,%,07-07-19 22:34
internaltemp,24.1,Celsius,07-07-19 22:44
internalrh,78,%,07-07-19 22:44
internaltemp,24.1,Celsius,07-07-19 22:54
internalrh,78,%,07-07-19 22:54
internaltemp,24.1,Celsius,07-07-19 23:04
internalrh,78,%,07-07-19 23:04
internaltemp,24.1,Celsius,07-07-19 23:14
internalrh,78,%,07-07-19 23:14
internaltemp,24.1,Celsius,07-07-19 23:24
internalrh,78,%,07-07-19 23:24
internaltemp,24.1,Celsius,07-07-19 23:34
internalrh,78,%,07-07-19 23:34
internaltemp,24,Celsius,07-07-19 23:44
internalrh,78,%,07-07-19 23:44
internaltemp,24,Celsius,07-07-19 23:54
internalrh,78,%,07-07-19 23:54
internaltemp,24,Celsius,08-07-19 0:04
internalrh,78,%,08-07-19 0:04
internaltemp,24,Celsius,08-07-19 0:14
internalrh,78,%,08-07-19 0:14
internaltemp,24,Celsius,08-07-19 0:24
internalrh,78,%,08-07-19 0:24
internaltemp,23.9,Celsius,08-07-19 0:34
internalrh,78,%,08-07-19 0:34
internaltemp,23.9,Celsius,08-07-19 0:44
internalrh,78,%,08-07-19 0:44
internaltemp,23.9,Celsius,08-07-19 0:54
internalrh,78,%,08-07-19 0:54
internaltemp,23.9,Celsius,08-07-19 1:04
internalrh,78,%,08-07-19 1:04
internaltemp,23.9,Celsius,08-07-19 1:14
internalrh,78,%,08-07-19 1:14
internaltemp,23.9,Celsius,08-07-19 1:24
internalrh,78,%,08-07-19 1:24
internaltemp,23.9,Celsius,08-07-19 1:34
internalrh,78,%,08-07-19 1:34
internaltemp,23.9,Celsius,08-07-19 1:44
internalrh,78,%,08-07-19 1:44
internaltemp,23.9,Celsius,08-07-19 1:54
internalrh,78,%,08-07-19 1:54
internaltemp,23.9,Celsius,08-07-19 2:04
internalrh,78,%,08-07-19 2:04
internaltemp,23.9,Celsius,08-07-19 2:14
internalrh,78,%,08-07-19 2:14
internaltemp,23.8,Celsius,08-07-19 2:24
internalrh,78,%,08-07-19 2:24
internaltemp,23.8,Celsius,08-07-19 2:34
internalrh,78,%,08-07-19 2:34
internaltemp,23.8,Celsius,08-07-19 2:44
internalrh,77,%,08-07-19 2:44
internaltemp,23.8,Celsius,08-07-19 2:54
internalrh,77,%,08-07-19 2:54
internaltemp,23.8,Celsius,08-07-19 3:04
internalrh,77,%,08-07-19 3:04
internaltemp,23.8,Celsius,08-07-19 3:14
internalrh,77,%,08-07-19 3:14
internaltemp,23.8,Celsius,08-07-19 3:24
internalrh,77,%,08-07-19 3:24
internaltemp,23.8,Celsius,08-07-19 3:34
internalrh,77,%,08-07-19 3:34
internaltemp,23.8,Celsius,08-07-19 3:44
internalrh,78,%,08-07-19 3:44
internaltemp,23.8,Celsius,08-07-19 3:54
internalrh,78,%,08-07-19 3:54
internaltemp,23.8,Celsius,08-07-19 4:04
internalrh,77,%,08-07-19 4:04
internaltemp,23.7,Celsius,08-07-19 4:14
internalrh,77,%,08-07-19 4:14
internaltemp,23.7,Celsius,08-07-19 4:24
internalrh,77,%,08-07-19 4:24
internaltemp,23.7,Celsius,08-07-19 4:34
internalrh,77,%,08-07-19 4:34
internaltemp,23.7,Celsius,08-07-19 4:44
internalrh,77,%,08-07-19 4:44
internaltemp,23.7,Celsius,08-07-19 4:54
internalrh,77,%,08-07-19 4:54
internaltemp,23.7,Celsius,08-07-19 5:04
internalrh,77,%,08-07-19 5:04
internaltemp,23.7,Celsius,08-07-19 5:14
internalrh,77,%,08-07-19 5:14
internaltemp,23.7,Celsius,08-07-19 5:24
internalrh,77,%,08-07-19 5:24
internaltemp,23.7,Celsius,08-07-19 5:34
internalrh,77,%,08-07-19 5:34
internaltemp,23.7,Celsius,08-07-19 5:44
internalrh,77,%,08-07-19 5:44
internaltemp,23.7,Celsius,08-07-19 5:54
internalrh,78,%,08-07-19 5:54
internaltemp,23.8,Celsius,08-07-19 6:04
internalrh,75,%,08-07-19 6:04
internaltemp,25,Celsius,08-07-19 6:14
internalrh,47,%,08-07-19 6:14
internaltemp,25.2,Celsius,08-07-19 6:24
internalrh,43,%,08-07-19 6:24
internaltemp,25.6,Celsius,08-07-19 6:34
internalrh,41,%,08-07-19 6:34
internaltemp,25.8,Celsius,08-07-19 6:44
internalrh,39,%,08-07-19 6:44
internaltemp,25.8,Celsius,08-07-19 6:54
internalrh,42,%,08-07-19 6:54
internaltemp,26.5,Celsius,08-07-19 7:04
internalrh,36,%,08-07-19 7:04
internaltemp,26.4,Celsius,08-07-19 7:14
internalrh,43,%,08-07-19 7:14
internaltemp,26.5,Celsius,08-07-19 7:25
internalrh,35,%,08-07-19 7:25
internaltemp,25.9,Celsius,08-07-19 7:34
internalrh,34,%,08-07-19 7:34
internaltemp,26.1,Celsius,08-07-19 7:44
internalrh,35,%,08-07-19 7:44
internaltemp,26.3,Celsius,08-07-19 7:54
internalrh,33,%,08-07-19 7:54
internaltemp,27,Celsius,08-07-19 8:04
internalrh,32,%,08-07-19 8:04
internaltemp,27.6,Celsius,08-07-19 8:14
internalrh,38,%,08-07-19 8:14
internaltemp,27.7,Celsius,08-07-19 8:24
internalrh,42,%,08-07-19 8:24
internaltemp,27.4,Celsius,08-07-19 8:34
internalrh,31,%,08-07-19 8:34
internaltemp,28.3,Celsius,08-07-19 8:44
internalrh,33,%,08-07-19 8:44
internaltemp,26.1,Celsius,08-07-19 8:54
internalrh,53,%,08-07-19 8:54
internaltemp,24.6,Celsius,08-07-19 9:04
internalrh,51,%,08-07-19 9:04
internaltemp,23.8,Celsius,08-07-19 9:14
internalrh,50,%,08-07-19 9:14
internaltemp,23.2,Celsius,08-07-19 9:24
internalrh,51,%,08-07-19 9:24
internaltemp,23,Celsius,08-07-19 9:34
internalrh,54,%,08-07-19 9:34
internaltemp,23,Celsius,08-07-19 9:44
internalrh,60,%,08-07-19 9:44
internaltemp,23,Celsius,08-07-19 9:54
internalrh,60,%,08-07-19 9:54
internaltemp,23.2,Celsius,08-07-19 10:04
internalrh,58,%,08-07-19 10:04
internaltemp,23.2,Celsius,08-07-19 10:04
internalrh,58,%,08-07-19 10:04
internaltemp,23.8,Celsius,08-07-19 10:14
internalrh,57,%,08-07-19 10:14
internaltemp,24.1,Celsius,08-07-19 10:24
internalrh,56,%,08-07-19 10:24
internaltemp,24.2,Celsius,08-07-19 10:35
internalrh,56,%,08-07-19 10:35
internaltemp,24.3,Celsius,08-07-19 10:45
internalrh,56,%,08-07-19 10:45
internaltemp,24.3,Celsius,08-07-19 10:54
internalrh,54,%,08-07-19 10:54
internaltemp,24.4,Celsius,08-07-19 11:04
internalrh,55,%,08-07-19 11:04
internaltemp,24.4,Celsius,08-07-19 11:14
internalrh,55,%,08-07-19 11:14
internaltemp,24.4,Celsius,08-07-19 11:24
internalrh,55,%,08-07-19 11:24
internaltemp,24.4,Celsius,08-07-19 11:34
internalrh,56,%,08-07-19 11:34
internaltemp,24.5,Celsius,08-07-19 11:44
internalrh,57,%,08-07-19 11:44
internaltemp,24.5,Celsius,08-07-19 11:54
internalrh,59,%,08-07-19 11:54
internaltemp,24.5,Celsius,08-07-19 12:04
internalrh,60,%,08-07-19 12:04
internaltemp,24.5,Celsius,08-07-19 12:14
internalrh,58,%,08-07-19 12:14
internaltemp,24.4,Celsius,08-07-19 12:24
internalrh,57,%,08-07-19 12:24
internaltemp,24.4,Celsius,08-07-19 12:34
internalrh,56,%,08-07-19 12:34
internaltemp,24.4,Celsius,08-07-19 12:44
internalrh,57,%,08-07-19 12:44
internaltemp,24.4,Celsius,08-07-19 12:55
internalrh,56,%,08-07-19 12:55
internaltemp,24.4,Celsius,08-07-19 13:04
internalrh,58,%,08-07-19 13:04
internaltemp,24.4,Celsius,08-07-19 13:04
internalrh,58,%,08-07-19 13:04
internaltemp,24.4,Celsius,08-07-19 13:14
internalrh,61,%,08-07-19 13:14
internaltemp,24.5,Celsius,08-07-19 13:24
internalrh,62,%,08-07-19 13:24
internaltemp,24.5,Celsius,08-07-19 13:34
internalrh,63,%,08-07-19 13:34
internaltemp,24.5,Celsius,08-07-19 13:44
internalrh,64,%,08-07-19 13:44
internaltemp,24.5,Celsius,08-07-19 13:54
internalrh,62,%,08-07-19 13:54
internaltemp,24.5,Celsius,08-07-19 14:04
internalrh,63,%,08-07-19 14:04
internaltemp,24.5,Celsius,08-07-19 14:14
internalrh,64,%,08-07-19 14:14
internaltemp,24.5,Celsius,08-07-19 14:24
internalrh,72,%,08-07-19 14:24
internaltemp,24.5,Celsius,08-07-19 14:35
internalrh,74,%,08-07-19 14:35
internaltemp,24.5,Celsius,08-07-19 14:45
internalrh,74,%,08-07-19 14:45
internaltemp,24.5,Celsius,08-07-19 14:55
internalrh,74,%,08-07-19 14:55
internaltemp,24.5,Celsius,08-07-19 15:05
internalrh,75,%,08-07-19 15:05
internaltemp,24.5,Celsius,08-07-19 15:15
internalrh,75,%,08-07-19 15:15
internaltemp,24.5,Celsius,08-07-19 15:25
internalrh,75,%,08-07-19 15:25
internaltemp,24.6,Celsius,08-07-19 15:35
internalrh,76,%,08-07-19 15:35
internaltemp,24.6,Celsius,08-07-19 15:45
internalrh,76,%,08-07-19 15:45
internaltemp,24.7,Celsius,08-07-19 15:55
internalrh,76,%,08-07-19 15:55
internaltemp,24.7,Celsius,08-07-19 16:05
internalrh,77,%,08-07-19 16:05
internaltemp,24.7,Celsius,08-07-19 16:15
internalrh,77,%,08-07-19 16:15
internaltemp,24.7,Celsius,08-07-19 16:25
internalrh,77,%,08-07-19 16:25
internaltemp,24.7,Celsius,08-07-19 16:35
internalrh,77,%,08-07-19 16:35
internaltemp,24.7,Celsius,08-07-19 16:45
internalrh,77,%,08-07-19 16:45
internaltemp,24.7,Celsius,08-07-19 16:55
internalrh,77,%,08-07-19 16:55
internaltemp,24.7,Celsius,08-07-19 17:05
internalrh,77,%,08-07-19 17:05
internaltemp,24.7,Celsius,08-07-19 17:15
internalrh,77,%,08-07-19 17:15
internaltemp,24.8,Celsius,08-07-19 17:24
internalrh,77,%,08-07-19 17:24
internaltemp,24.9,Celsius,08-07-19 17:34
internalrh,77,%,08-07-19 17:34
internaltemp,24.9,Celsius,08-07-19 17:44
internalrh,77,%,08-07-19 17:44
internaltemp,24.9,Celsius,08-07-19 17:54
internalrh,78,%,08-07-19 17:54
internaltemp,24.9,Celsius,08-07-19 18:05
internalrh,78,%,08-07-19 18:05
internaltemp,24.9,Celsius,08-07-19 18:15
internalrh,78,%,08-07-19 18:15
internaltemp,24.9,Celsius,08-07-19 18:25
internalrh,78,%,08-07-19 18:25
internaltemp,25,Celsius,08-07-19 18:34
internalrh,78,%,08-07-19 18:34
internaltemp,25,Celsius,08-07-19 18:44
internalrh,78,%,08-07-19 18:44
internaltemp,25,Celsius,08-07-19 18:54
internalrh,78,%,08-07-19 18:54
internaltemp,25,Celsius,08-07-19 19:04
internalrh,78,%,08-07-19 19:04
internaltemp,25,Celsius,08-07-19 19:14
internalrh,78,%,08-07-19 19:14
internaltemp,25,Celsius,08-07-19 19:24
internalrh,78,%,08-07-19 19:24
internaltemp,25,Celsius,08-07-19 19:34
internalrh,78,%,08-07-19 19:34
internaltemp,25,Celsius,08-07-19 19:44
internalrh,78,%,08-07-19 19:44
internaltemp,25,Celsius,08-07-19 19:54
internalrh,78,%,08-07-19 19:54
internaltemp,25,Celsius,08-07-19 20:04
internalrh,78,%,08-07-19 20:04
internaltemp,25,Celsius,08-07-19 20:14
internalrh,78,%,08-07-19 20:14
internaltemp,25,Celsius,08-07-19 20:24
internalrh,79,%,08-07-19 20:24
internaltemp,25,Celsius,08-07-19 20:34
internalrh,79,%,08-07-19 20:34
internaltemp,25.1,Celsius,08-07-19 20:44
internalrh,79,%,08-07-19 20:44
internaltemp,25.1,Celsius,08-07-19 20:54
internalrh,79,%,08-07-19 20:54
internaltemp,25.1,Celsius,08-07-19 21:04
internalrh,79,%,08-07-19 21:04
internaltemp,25.1,Celsius,08-07-19 21:14
internalrh,79,%,08-07-19 21:14
internaltemp,25.1,Celsius,08-07-19 21:24
internalrh,79,%,08-07-19 21:24
internaltemp,25.1,Celsius,08-07-19 21:34
internalrh,80,%,08-07-19 21:34
internaltemp,25.1,Celsius,08-07-19 21:44
internalrh,80,%,08-07-19 21:44
internaltemp,25.1,Celsius,08-07-19 21:54
internalrh,80,%,08-07-19 21:54
internaltemp,25.1,Celsius,08-07-19 22:04
internalrh,80,%,08-07-19 22:04
internaltemp,25.1,Celsius,08-07-19 22:14
internalrh,80,%,08-07-19 22:14
internaltemp,25.1,Celsius,08-07-19 22:24
internalrh,80,%,08-07-19 22:24
internaltemp,25.1,Celsius,08-07-19 22:34
internalrh,81,%,08-07-19 22:34
internaltemp,25.1,Celsius,08-07-19 22:44
internalrh,80,%,08-07-19 22:44
internaltemp,25.1,Celsius,08-07-19 22:54
internalrh,80,%,08-07-19 22:54
internaltemp,25.1,Celsius,08-07-19 23:04
internalrh,80,%,08-07-19 23:04
internaltemp,25,Celsius,08-07-19 23:14
internalrh,79,%,08-07-19 23:14
internaltemp,25,Celsius,08-07-19 23:25
internalrh,79,%,08-07-19 23:25
internaltemp,25,Celsius,08-07-19 23:35
internalrh,79,%,08-07-19 23:35
internaltemp,25,Celsius,08-07-19 23:44
internalrh,79,%,08-07-19 23:44
internaltemp,25,Celsius,08-07-19 23:54
internalrh,79,%,08-07-19 23:54
internaltemp,25,Celsius,09-07-19 0:04
internalrh,79,%,09-07-19 0:04
internaltemp,25,Celsius,09-07-19 0:14
internalrh,79,%,09-07-19 0:14
internaltemp,25,Celsius,09-07-19 0:24
internalrh,78,%,09-07-19 0:24
internaltemp,25,Celsius,09-07-19 0:34
internalrh,78,%,09-07-19 0:34
internaltemp,25,Celsius,09-07-19 0:44
internalrh,77,%,09-07-19 0:44
internaltemp,25,Celsius,09-07-19 0:54
internalrh,77,%,09-07-19 0:54
internaltemp,25,Celsius,09-07-19 1:04
internalrh,77,%,09-07-19 1:04
internaltemp,25,Celsius,09-07-19 1:14
internalrh,77,%,09-07-19 1:14
internaltemp,25,Celsius,09-07-19 1:24
internalrh,77,%,09-07-19 1:24
internaltemp,25,Celsius,09-07-19 1:34
internalrh,77,%,09-07-19 1:34
internaltemp,25,Celsius,09-07-19 1:44
internalrh,77,%,09-07-19 1:44
internaltemp,25,Celsius,09-07-19 1:54
internalrh,77,%,09-07-19 1:54
internaltemp,25,Celsius,09-07-19 2:04
internalrh,76,%,09-07-19 2:04
internaltemp,25,Celsius,09-07-19 2:14
internalrh,76,%,09-07-19 2:14
internaltemp,25,Celsius,09-07-19 2:24
internalrh,76,%,09-07-19 2:24
internaltemp,25,Celsius,09-07-19 2:34
internalrh,76,%,09-07-19 2:34
internaltemp,25,Celsius,09-07-19 2:44
internalrh,76,%,09-07-19 2:44
internaltemp,25,Celsius,09-07-19 2:54
internalrh,76,%,09-07-19 2:54
internaltemp,25,Celsius,09-07-19 3:04
internalrh,76,%,09-07-19 3:04
internaltemp,25,Celsius,09-07-19 3:14
internalrh,76,%,09-07-19 3:14
internaltemp,24.9,Celsius,09-07-19 3:24
internalrh,76,%,09-07-19 3:24
internaltemp,24.9,Celsius,09-07-19 3:34
internalrh,76,%,09-07-19 3:34
internaltemp,24.9,Celsius,09-07-19 3:44
internalrh,76,%,09-07-19 3:44
internaltemp,24.9,Celsius,09-07-19 3:54
internalrh,76,%,09-07-19 3:54
internaltemp,24.9,Celsius,09-07-19 4:04
internalrh,76,%,09-07-19 4:04
internaltemp,24.9,Celsius,09-07-19 4:14
internalrh,76,%,09-07-19 4:14
internaltemp,24.9,Celsius,09-07-19 4:24
internalrh,76,%,09-07-19 4:24
internaltemp,24.9,Celsius,09-07-19 4:34
internalrh,76,%,09-07-19 4:34
internaltemp,24.9,Celsius,09-07-19 4:44
internalrh,76,%,09-07-19 4:44
internaltemp,24.9,Celsius,09-07-19 4:54
internalrh,77,%,09-07-19 4:54
internaltemp,24.9,Celsius,09-07-19 5:04
internalrh,77,%,09-07-19 5:04
internaltemp,24.9,Celsius,09-07-19 5:15
internalrh,76,%,09-07-19 5:15
internaltemp,24.9,Celsius,09-07-19 5:24
internalrh,76,%,09-07-19 5:24
internaltemp,24.9,Celsius,09-07-19 5:34
internalrh,76,%,09-07-19 5:34
internaltemp,25,Celsius,09-07-19 5:44
internalrh,76,%,09-07-19 5:44
internaltemp,25,Celsius,09-07-19 5:54
internalrh,77,%,09-07-19 5:54
internaltemp,25,Celsius,09-07-19 6:04
internalrh,77,%,09-07-19 6:04
internaltemp,24.9,Celsius,09-07-19 6:14
internalrh,77,%,09-07-19 6:14
internaltemp,24.9,Celsius,09-07-19 6:24
internalrh,76,%,09-07-19 6:24
internaltemp,24.9,Celsius,09-07-19 6:34
internalrh,76,%,09-07-19 6:34
internaltemp,24.9,Celsius,09-07-19 6:44
internalrh,75,%,09-07-19 6:44
internaltemp,24.9,Celsius,09-07-19 6:54
internalrh,75,%,09-07-19 6:54
internaltemp,24.9,Celsius,09-07-19 7:04
internalrh,75,%,09-07-19 7:04
internaltemp,25.7,Celsius,09-07-19 7:14
internalrh,49,%,09-07-19 7:14
internaltemp,25.3,Celsius,09-07-19 7:24
internalrh,44,%,09-07-19 7:24
internaltemp,25.7,Celsius,09-07-19 7:34
internalrh,42,%,09-07-19 7:34
internaltemp,26.1,Celsius,09-07-19 7:44
internalrh,40,%,09-07-19 7:44
internaltemp,25.8,Celsius,09-07-19 7:54
internalrh,38,%,09-07-19 7:54
internaltemp,25.9,Celsius,09-07-19 8:04
internalrh,38,%,09-07-19 8:04
internaltemp,26.1,Celsius,09-07-19 8:14
internalrh,36,%,09-07-19 8:14
internaltemp,26.3,Celsius,09-07-19 8:24
internalrh,36,%,09-07-19 8:24
internaltemp,26.3,Celsius,09-07-19 8:34
internalrh,35,%,09-07-19 8:34
internaltemp,26.3,Celsius,09-07-19 8:44
internalrh,34,%,09-07-19 8:44
internaltemp,26.4,Celsius,09-07-19 8:54
internalrh,34,%,09-07-19 8:54
internaltemp,26.5,Celsius,09-07-19 9:04
internalrh,34,%,09-07-19 9:04
internaltemp,26.6,Celsius,09-07-19 9:14
internalrh,33,%,09-07-19 9:14
internaltemp,26.7,Celsius,09-07-19 9:24
internalrh,33,%,09-07-19 9:24
internaltemp,26.7,Celsius,09-07-19 9:34
internalrh,33,%,09-07-19 9:34
internaltemp,26.6,Celsius,09-07-19 9:44
internalrh,33,%,09-07-19 9:44
internaltemp,26.6,Celsius,09-07-19 9:54
internalrh,33,%,09-07-19 9:54
internaltemp,26.7,Celsius,09-07-19 10:04
internalrh,33,%,09-07-19 10:04
internaltemp,26.8,Celsius,09-07-19 10:14
internalrh,32,%,09-07-19 10:14
internaltemp,26.9,Celsius,09-07-19 10:24
internalrh,32,%,09-07-19 10:24
internaltemp,26.8,Celsius,09-07-19 10:34
internalrh,31,%,09-07-19 10:34
internaltemp,26.8,Celsius,09-07-19 10:45
internalrh,31,%,09-07-19 10:45
internaltemp,26.8,Celsius,09-07-19 10:55
internalrh,31,%,09-07-19 10:55
internaltemp,26.8,Celsius,09-07-19 11:05
internalrh,31,%,09-07-19 11:05
internaltemp,26.9,Celsius,09-07-19 11:14
internalrh,31,%,09-07-19 11:14
internaltemp,27,Celsius,09-07-19 11:24
internalrh,31,%,09-07-19 11:24
internaltemp,27.2,Celsius,09-07-19 11:34
internalrh,31,%,09-07-19 11:34
internaltemp,27,Celsius,09-07-19 11:44
internalrh,30,%,09-07-19 11:44
internaltemp,27,Celsius,09-07-19 11:55
internalrh,30,%,09-07-19 11:55
internaltemp,27,Celsius,09-07-19 12:05
internalrh,30,%,09-07-19 12:05
internaltemp,27,Celsius,09-07-19 12:15
internalrh,31,%,09-07-19 12:15
internaltemp,27,Celsius,09-07-19 12:24
internalrh,29,%,09-07-19 12:24
internaltemp,27,Celsius,09-07-19 12:24
internalrh,29,%,09-07-19 12:24
internaltemp,26.9,Celsius,09-07-19 12:34
internalrh,29,%,09-07-19 12:34
internaltemp,27,Celsius,09-07-19 12:44
internalrh,29,%,09-07-19 12:44
internaltemp,27.3,Celsius,09-07-19 12:54
internalrh,29,%,09-07-19 12:54
internaltemp,27.3,Celsius,09-07-19 13:04
internalrh,28,%,09-07-19 13:04
internaltemp,27.3,Celsius,09-07-19 13:14
internalrh,29,%,09-07-19 13:14
internaltemp,27.3,Celsius,09-07-19 13:24
internalrh,29,%,09-07-19 13:24
internaltemp,27.3,Celsius,09-07-19 13:34
internalrh,29,%,09-07-19 13:34
internaltemp,27.3,Celsius,09-07-19 13:44
internalrh,29,%,09-07-19 13:44
internaltemp,27.2,Celsius,09-07-19 13:54
internalrh,32,%,09-07-19 13:54
internaltemp,26.6,Celsius,09-07-19 14:05
internalrh,46,%,09-07-19 14:05
internaltemp,26.3,Celsius,09-07-19 14:15
internalrh,51,%,09-07-19 14:15
internaltemp,23.7,Celsius,09-07-19 14:25
internalrh,42,%,09-07-19 14:25
internaltemp,21,Celsius,09-07-19 14:35
internalrh,46,%,09-07-19 14:35
internaltemp,20,Celsius,09-07-19 14:45
internalrh,46,%,09-07-19 14:45
internaltemp,20.5,Celsius,09-07-19 14:55
internalrh,48,%,09-07-19 14:55
internaltemp,20.7,Celsius,09-07-19 15:05
internalrh,58,%,09-07-19 15:05
internaltemp,20.7,Celsius,09-07-19 15:14
internalrh,62,%,09-07-19 15:14
internaltemp,20.7,Celsius,09-07-19 15:24
internalrh,70,%,09-07-19 15:24
internaltemp,20.7,Celsius,09-07-19 15:34
internalrh,68,%,09-07-19 15:34
internaltemp,20.8,Celsius,09-07-19 15:44
internalrh,82,%,09-07-19 15:44
internaltemp,20.2,Celsius,09-07-19 15:54
internalrh,84,%,09-07-19 15:54
internaltemp,19.8,Celsius,09-07-19 16:04
internalrh,67,%,09-07-19 16:04
